time,flow, temp, salt,aed_oxygen_oxy,aed_silica_rsi,aed_nitrogen_amm,aed_nitrogen_nit,aed_phosphorus_frp,aed_organic_matter_pon,aed_organic_matter_don,aed_organic_matter_pop,aed_organic_matter_dop,aed_organic_matter_poc,aed_organic_matter_doc,aed_phytoplankton_green,aed_phytoplankton_diatom,aed_phytoplankton_crypto
1998-02-02,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-02-03,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-02-04,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-02-05,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-02-06,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-02-07,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-02-08,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-02-09,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-02-10,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-02-11,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-02-12,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-02-13,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-02-14,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-02-15,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-02-16,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-02-17,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-02-18,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-02-19,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-02-20,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-02-21,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-02-22,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-02-23,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-02-24,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-02-25,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-02-26,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-02-27,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-02-28,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-03-01,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-03-02,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-03-03,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-03-04,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-03-05,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-03-06,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-03-07,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-03-08,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-03-09,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-03-10,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-03-11,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-03-12,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-03-13,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-03-14,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-03-15,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-03-16,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-03-17,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-03-18,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-03-19,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-03-20,0.021412037,1.7,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-03-21,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-03-22,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-03-23,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-03-24,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-03-25,0.0107638889,2.7,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-03-26,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-03-27,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-03-28,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-03-29,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-03-30,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-03-31,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-04-01,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-04-02,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-04-03,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-04-04,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-04-05,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-04-06,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-04-07,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-04-08,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-04-09,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-04-10,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-04-11,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-04-12,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-04-13,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-04-14,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-04-15,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-04-16,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-04-17,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-04-18,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-04-19,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-04-20,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-04-21,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-04-22,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-04-23,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-04-24,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-04-25,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-04-26,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-04-27,0.0013888889,11.2,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-04-28,0.0085648148,8.9,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-04-29,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-04-30,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-05-01,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-05-02,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-05-03,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-05-04,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-05-05,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-05-06,0.021412037,7.5,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-05-07,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-05-08,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-05-09,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-05-10,0.003587963,9.3,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-05-11,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-05-12,0.003587963,7.5,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-05-13,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-05-14,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-05-15,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-05-16,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-05-17,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-05-18,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-05-19,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-05-20,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-05-21,0.0178240741,17,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-05-22,0.0071759259,18.5,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-05-23,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-05-24,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-05-25,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-05-26,0.003587963,16.4,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-05-27,0.025,14.5,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-05-28,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-05-29,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-05-30,0.0142361111,8.2,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-05-31,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-06-01,0.0585648148,9,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-06-02,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-06-03,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-06-04,0.0071759259,10,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-06-05,0.1013888889,10.6,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-06-06,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-06-07,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-06-08,0.115625,17,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-06-09,0.0042824074,16.6,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-06-10,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-06-11,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-06-12,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-06-13,0.0171296296,10.5,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-06-14,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-06-15,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-06-16,0.05,12,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-06-17,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-06-18,0.0028935185,13.6,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-06-19,0.0028935185,16.9,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-06-20,0.0299768519,15.5,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-06-21,0.0071759259,16,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-06-22,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-06-23,0.0299768519,20.8,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-06-24,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-06-25,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-06-26,0.0542824074,17.4,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-06-27,0.1613425926,16,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-06-28,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-06-29,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-06-30,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-07-01,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-07-02,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-07-03,0.0313657407,17.4,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-07-04,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-07-05,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-07-06,0.1255787037,20.5,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-07-07,0.0056712963,22.3,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-07-08,0.0013888889,21.8,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-07-09,0.0371527778,22.8,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-07-10,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-07-11,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-07-12,0.0185185185,17.7,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-07-13,0.021412037,17.5,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-07-14,0.003587963,10.6,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-07-15,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-07-16,0.0013888889,15.8,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-07-17,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-07-18,0.1913194444,16.9,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-07-19,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-07-20,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-07-21,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-07-22,0.028587963,14.8,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-07-23,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-07-24,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-07-25,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-07-26,0.0099537037,19.7,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-07-27,0.0013888889,18.3,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-07-28,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-07-29,0.1241898148,13.6,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-07-30,0.0256944444,19.1,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-07-31,0.0342592593,19.2,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-08-01,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-08-02,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-08-03,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-08-04,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-08-05,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-08-06,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-08-07,0.0013888889,19.1,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-08-08,0.0971064815,17.3,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-08-09,0.0042824074,20.2,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-08-10,0.0071759259,20.3,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-08-11,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-08-12,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-08-13,0.0128472222,14.8,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-08-14,0.1841435185,14.5,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-08-15,0.0799768519,15.6,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-08-16,0.0013888889,12.6,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-08-17,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-08-18,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-08-19,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-08-20,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-08-21,0.0028935185,19.9,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-08-22,0.0042824074,18.1,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-08-23,0.0114583333,17.4,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-08-24,0.1613425926,14.9,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-08-25,0.0013888889,12.7,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-08-26,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-08-27,0.021412037,14,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-08-28,0.0056712963,13.9,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-08-29,0.0028935185,17.1,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-08-30,0.0056712963,17.7,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-08-31,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-09-01,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-09-02,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-09-03,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-09-04,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-09-05,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-09-06,0.0313657407,9,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-09-07,0.0243055556,16.5,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-09-08,0.0013888889,13.2,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-09-09,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-09-10,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-09-11,0.0313657407,11.7,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-09-12,0.1670138889,11.5,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-09-13,0.0613425926,11.8,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-09-14,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-09-15,0.1399305556,8.6,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-09-16,0.0056712963,5.1,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-09-17,0.0028935185,5.5,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-09-18,0.0056712963,5.5,0.28,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-09-19,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-09-20,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-09-21,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-09-22,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
1998-09-23,0,0,0,225,12.5,12.5,27.6,0.25,70,5,10,10,80,700,40,40,40
